Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Shipped,Grand_Total
955,Valkyria Chronicles,Series,2008,Role-Playing,Sega  ,Sega  ,,,,,,,,3.25,3.25
956,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo  ,Bandai Namco Games  ,6.1,,,,,,,3.23,3.23
957,Ratchet & Clank: Up Your Arsenal,PS2,2004,Platform,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,,,,,,3.22,3.22
958,007: Tomorrow Never Dies,PS,1999,Shooter,Electronic Arts  ,Black Ops Entertainment  ,6.2,,1.72,1.33,,0.16,3.21,,3.21
959,L.A. Noire,PS3,2011,Adventure,Rockstar Games  ,Team Bondi  ,9.1,,1.29,1.31,0.12,0.49,3.21,,3.21
960,Baseball,NES,1985,Sports,Nintendo  ,Nintendo  ,,,,,,,,3.2,3.2
961,Breath of Fire,Series,1994,Role-Playing,Capcom  ,Capcom  ,,,,,,,,3.2,3.2
962,Detroit: Become Human,PS4,2018,Adventure,Sony Interactive Entertainment  ,Quantic Dream  ,8,,,,,,,3.2,3.2
963,Dragon Quest IV,NES,1992,Role-Playing,Enix  ,ChunSoft  ,,,,,,,,3.2,3.2
964,Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,Enix  ,Heart Beat  ,,,,,,,,3.2,3.2
965,Final Fight,Series,1989,Action,Capcom  ,Capcom  ,,,,,,,,3.2,3.2
966,Killer Instinct,SNES,1995,Fighting,Nintendo  ,Rare Ltd.  ,,,,,,,,3.2,3.2
967,Okami,Series,2006,Action-Adventure,Capcom  ,Clover Studio  ,,,,,,,,3.2,3.2
